"DIVHorario"
"X15.6",0.0454545454545455
"X16.1",0.0869565217391304
"X16.7",0.166666666666667
"X17.2",0.208333333333333
"X17.8",0.230769230769231
"X18.3",0.285714285714286
"X18.9",0.285714285714286
"X19.4",0.285714285714286
"X20",0.285714285714286
"X20.6",0.285714285714286
"X21.1",0.285714285714286
"X21.7",0.287698412698413
"X22.2",0.28968253968254
"X22.8",0.291666666666667
"X23.3",0.291666666666667
"X23.9",0.291666666666667
"X24.4",0.304347826086957
"X25",0.333333333333333
"X25.6",0.388888888888889
"X26.1",0.4375
"X26.7",0.7
"X27.2",0.7
"X27.8",0.7
"X28.3",0.7
"X28.9",0.7
"X29.4",0.7
"X30",0.7
"X30.6",0.7
"X31.1",0.7
"X31.7",0.7
"X32.2",0.7
"X32.8",0.7
"X33.3",0.7
"X33.9",0.7
"X34.4",0.7
"X35",0.6
